Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Stoneham town,21437,MA
633,465,468,788,897,87,1,Macon County,NCNTY01087N01087,"Macon County, AL",Macon County,21452,AL
709,573,598,1041,1045,153,18,Sullivan County,METRO45460N18153,"Sullivan County, IN HUD Metro FMR Area",Sullivan County,21475,IN
1582,1134,1267,1970,2142,21,25,Norfolk County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Canton town,21561,MA
659,478,512,844,1167,119,18,Owen County,METRO14020N18119,"Owen County, IN HUD Metro FMR Area",Owen County,21575,IN
440,347,367,589,767,59,72,Guayanilla Municipio,METRO49500M49500,"Yauco, PR MSA",Guayanilla Municipio,21581,PR
640,416,473,868,1030,21,20,Cherokee County,NCNTY20021N20021,"Cherokee County, KS",Cherokee County,21603,KS
831,628,632,1197,1472,149,20,Pottawatomie County,METRO31740M31740,"Manhattan, KS MSA",Pottawatomie County,21604,KS
652,424,482,812,871,99,20,Labette County,NCNTY20099N20099,"Labette County, KS",Labette County,21607,KS
703,430,544,910,1245,3,53,Asotin County,METRO30300M30300,"Lewiston, ID-WA MSA",Asotin County,21623,WA
658,524,528,970,1030,157,27,Wabasha County,METRO40340N27157,"Wabasha County, MN HUD Metro FMR Area",Wabasha County,21676,MN
759,556,630,1050,1078,321,13,Worth County,METRO10500M10500,"Albany, GA MSA",Worth County,21679,GA
699,487,537,871,934,129,26,Ogemaw County,NCNTY26129N26129,"Ogemaw County, MI",Ogemaw County,21699,MI
673,447,534,992,1133,183,19,Washington County,METRO26980N19183,"Washington County, IA HUD Metro FMR Area",Washington County,21704,IA
847,585,714,1055,1132,89,26,Leelanau County,NCNTY26089N26089,"Leelanau County, MI",Leelanau County,21708,MI
984,790,830,1294,1568,75,51,Goochland County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Goochland County,21717,VA
698,475,516,976,1236,101,28,Newton County,NCNTY28101N28101,"Newton County, MS",Newton County,21720,MS
637,397,506,939,942,31,41,Jefferson County,NCNTY41031N41031,"Jefferson County, OR",Jefferson County,21720,OR
778,581,653,1024,1160,43,54,Lincoln County,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",Lincoln County,21720,WV
565,425,477,833,1001,51,21,Clay County,NCNTY21051N21051,"Clay County, KY",Clay County,21730,KY
561,412,415,827,915,107,5,Phillips County,NCNTY05107N05107,"Phillips County, AR",Phillips County,21757,AR
685,485,530,1009,1013,457,48,Tyler County,NCNTY48457N48457,"Tyler County, TX",Tyler County,21766,TX
636,514,536,937,1126,91,13,Dodge County,NCNTY13091N13091,"Dodge County, GA",Dodge County,21796,GA
1582,1134,1267,1970,2142,23,25,Plymouth County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Wareham town,21822,MA
561,412,415,760,763,3,5,Ashley County,NCNTY05003N05003,"Ashley County, AR",Ashley County,21853,AR
780,580,654,1061,1314,189,13,McDuffie County,METRO12260M12260,"Augusta-Richmond County, GA-SC MSA",McDuffie County,21875,GA
705,568,571,878,1169,341,48,Moore County,NCNTY48341N48341,"Moore County, TX",Moore County,21904,TX
614,418,513,774,821,43,28,Grenada County,NCNTY28043N28043,"Grenada County, MS",Grenada County,21906,MS
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Acton town,21924,MA
1233,834,960,1536,1808,17,25,Middlesex County,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",Westford town,21951,MA
584,397,460,727,895,129,47,Morgan County,NCNTY47129N47129,"Morgan County, TN",Morgan County,21987,TN
684,529,577,876,914,199,13,Meriwether County,METRO12060N13199,"Meriwether County, GA HUD Metro FMR Area",Meriwether County,21992,GA
563,383,419,830,997,133,47,Overton County,NCNTY47133N47133,"Overton County, TN",Overton County,22083,TN
686,504,507,941,1215,119,13,Franklin County,NCNTY13119N13119,"Franklin County, GA",Franklin County,22084,GA
637,474,477,850,1093,131,37,Northampton County,NCNTY37131N37131,"Northampton County, NC",Northampton County,22099,NC
654,514,552,964,1044,93,22,St. James Parish,NCNTY22093N22093,"St. James Parish, LA",St. James Parish,22102,LA
573,463,483,727,808,47,54,McDowell County,NCNTY54047N54047,"McDowell County, WV",McDowell County,22113,WV
720,529,532,897,1085,9,40,Beckham County,NCNTY40009N40009,"Beckham County, OK",Beckham County,22119,OK
669,474,494,887,1185,489,48,Willacy County,NCNTY48489N48489,"Willacy County, TX",Willacy County,22134,TX
637,483,520,793,964,51,17,Fayette County,NCNTY17051N17051,"Fayette County, IL",Fayette County,22140,IL
753,533,593,955,1006,233,48,Hutchinson County,NCNTY48233N48233,"Hutchinson County, TX",Hutchinson County,22150,TX
1582,1134,1267,1970,2142,23,25,Plymouth County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Hingham town,22157,MA
574,421,424,846,1017,149,5,Yell County,NCNTY05149N05149,"Yell County, AR",Yell County,22185,AR
563,398,475,791,997,151,47,Scott County,NCNTY47151N47151,"Scott County, TN",Scott County,22228,TN
626,426,528,832,930,139,28,Tippah County,NCNTY28139N28139,"Tippah County, MS",Tippah County,22232,MS
617,447,456,768,825,111,47,Macon County,METRO34980N47111,"Macon County, TN HUD Metro FMR Area",Macon County,22248,TN
669,442,501,948,1165,83,29,Henry County,NCNTY29083N29083,"Henry County, MO",Henry County,22272,MO
681,501,574,848,1189,163,51,Rockbridge County,NCNTY51163N51163,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetro FMR Area",Rockbridge County,22307,VA
